date,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2023-02-17 04:00:00 AM,23839.00,23885.70,23718.50,23804.80,15939.175,120542,7159.743
2023-02-17 05:00:00 AM,23804.90,23812.80,23685.40,23709.50,11243.311,93343,4590.470
2023-02-17 06:00:00 AM,23709.50,23756.00,23612.00,23673.10,14246.487,109633,6974.257
2023-02-17 07:00:00 AM,23673.00,23792.10,23629.20,23636.00,18247.062,127120,9005.082
2023-02-17 08:00:00 AM,23635.90,23824.70,23520.00,23804.70,30751.229,186745,16355.184
2023-02-17 09:00:00 AM,23804.70,23870.00,23716.50,23749.00,22094.261,164099,10979.349
2023-02-17 10:00:00 AM,23749.10,23790.00,23675.20,23757.00,14009.250,112937,6827.482
2023-02-17 11:00:00 AM,23757.10,23846.80,23741.00,23792.60,13812.592,103797,7774.341
2023-02-17 12:00:00 PM,23792.60,23915.60,23772.00,23869.60,17760.535,132024,9311.390
2023-02-17 01:00:00 PM,23869.60,23887.10,23752.40,23781.40,17198.306,134441,8031.000
2023-02-17 02:00:00 PM,23781.40,24255.00,23701.10,23865.50,105732.277,577390,53097.334
2023-02-17 03:00:00 PM,23865.50,24293.60,23847.00,24131.40,85127.348,508809,44911.344
2023-02-17 04:00:00 PM,24131.30,24330.00,23916.00,24090.70,68039.446,433322,33216.197
2023-02-17 05:00:00 PM,24090.70,24530.00,24085.10,24301.30,79243.015,483689,42232.286
2023-02-17 06:00:00 PM,24301.20,24419.60,24201.00,24362.70,26974.341,200041,13389.911
2023-02-17 07:00:00 PM,24362.70,24562.90,24240.00,24526.70,30813.384,212359,16159.804
2023-02-17 08:00:00 PM,24526.80,25043.20,24518.50,24835.20,88644.087,530755,46306.038
2023-02-17 09:00:00 PM,24835.20,24849.20,24424.40,24485.10,32405.434,200080,14470.480
2023-02-17 10:00:00 PM,24483.70,24750.00,24031.10,24683.30,79286.671,517191,40380.516
2023-02-17 11:00:00 PM,24683.30,24749.90,24520.00,24581.50,25482.307,202668,11827.686
2023-02-18 12:00:00 AM,24581.30,24799.20,24546.70,24638.10,19613.310,169816,9661.454
2023-02-18 01:00:00 AM,24638.10,24697.40,24580.80,24669.30,11756.038,100357,6153.551
2023-02-18 02:00:00 AM,24669.40,24681.50,24502.60,24562.90,9987.134,88021,4297.616
2023-02-18 03:00:00 AM,24562.90,24649.90,24537.00,24619.90,9402.625,77634,4933.204
2023-02-18 04:00:00 AM,24619.90,24663.90,24600.80,24632.40,6962.988,62883,3538.517
2023-02-18 05:00:00 AM,24632.40,24652.00,24600.10,24649.80,4890.977,45907,2169.821
2023-02-18 06:00:00 AM,24649.80,24684.80,24613.30,24630.00,6261.321,56212,3049.987
2023-02-18 07:00:00 AM,24630.00,24630.00,24430.60,24522.80,16230.639,114641,7393.081
2023-02-18 08:00:00 AM,24522.70,24614.00,24463.50,24591.30,11746.931,101872,6376.456
2023-02-18 09:00:00 AM,24591.30,24598.60,24546.00,24560.00,5342.565,56445,2413.198
2023-02-18 10:00:00 AM,24560.10,24569.20,24458.50,24462.80,9467.741,83381,4163.111
2023-02-18 11:00:00 AM,24462.80,24560.10,24436.40,24525.60,10328.892,88304,5694.810
2023-02-18 12:00:00 PM,24525.70,24657.20,24494.40,24624.50,14899.982,122357,8038.697
2023-02-18 01:00:00 PM,24624.60,24648.40,24560.40,24587.80,8746.658,81378,4081.792
2023-02-18 02:00:00 PM,24587.90,24750.00,24538.20,24699.00,17200.155,133278,9687.771
2023-02-18 03:00:00 PM,24699.10,24731.90,24632.80,24670.00,14687.340,125022,7027.901
2023-02-18 04:00:00 PM,24670.00,24699.70,24641.40,24650.50,8694.094,75599,4105.284
2023-02-18 05:00:00 PM,24650.50,24720.00,24573.50,24694.10,13114.325,109386,6401.303
2023-02-18 06:00:00 PM,24694.10,24887.50,24645.30,24713.80,28775.055,192841,14995.404
2023-02-18 07:00:00 PM,24713.70,24736.80,24564.00,24610.10,10710.068,91481,4876.841
2023-02-18 08:00:00 PM,24610.00,24629.80,24516.70,24597.50,10289.634,89967,4922.854
2023-02-18 09:00:00 PM,24597.50,24645.00,24586.40,24621.70,4449.696,44243,2332.151
2023-02-18 10:00:00 PM,24621.70,24673.40,24601.60,24630.50,4658.925,52392,2514.624
2023-02-18 11:00:00 PM,24630.40,24669.80,24621.70,24636.90,3338.463,37153,1723.034
2023-02-19 12:00:00 AM,24636.80,24777.00,24626.50,24743.90,9526.752,82582,5141.579
2023-02-19 01:00:00 AM,24743.80,24774.90,24639.50,24714.10,10913.619,84742,5201.747
